Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
The Cow;1969;7,9;Drama;Iran;Persian;;;;;
Naughty Roommates;1969;4,9;Comedy, Romance;West Germany, Austria;German;;;;;
Isten hozta örnagy úr;1969;8;Dark Comedy, Comedy, Drama;Hungary;Hungarian;;;;;
Otley;1969;6,1;Comedy;United Kingdom;English;;;;;
Twenty-Four Hours of Pleasure;1969;7;Comedy;Ecuador, Mexico;Spanish;;;;;
Jeene Ki Raah;1969;6,5;Drama, Romance;India;Hindi;;;;;
Lesbo;1969;5,8;Drama;Italy;Italian;;;;;
Abi foq al-Shagara;1969;5,8;Drama, Musical, Romance;Egypt;Arabic;;;;;
All the Right Moves;1983;6;Drama, Romance, Sport;United States;English;;;;;
Joysticks;1983;4,5;Raunchy Comedy, Comedy;United States;English;;;;;
One Deadly Summer;1983;7,2;Drama, Mystery;France;French;;;;;
The Exterminators of the Year 3000;1983;5,1;Action, SciFi;Italy, Spain;Spanish, Italian;;;;;
The Lift;1983;6,1;Dark Comedy, Horror, Mystery, SciFi, Thriller;Netherlands;English, Dutch;;;;;
Extra Terrestrial Visitors;1983;2,1;Drama, Fantasy, Horror, Mystery, SciFi;Spain, France;French, Spanish;;;;;
Scalps;1983;3,9;Slasher Horror, Supernatural Horror, Horror;United States;English;;;;;
Le ruffian;1983;6;Adventure, Crime;France, Canada;French, English;;;;;
Seeding of a Ghost;1983;6,5;Crime, Horror, Thriller;Hong Kong;Cantonese, Mandarin;;;;;
Urusei Yatsura: Only You;1983;6,6;Anime, Slapstick, Animation, Comedy, Fantasy, Romance, SciFi;Japan;Japanese;;;;;
Midnite Spares;1983;5,1;Action, Adventure, Comedy, Crime, Drama, Romance;Australia;English;;;;;
The Passing;1983;5,6;Drama, Horror, SciFi;United States;English;;;;;
Friday the 13th: The Final Chapter;1984;6;Dark Comedy, Slasher Horror, Splatter Horror, Teen Horror, Horror, Thriller;United States;English;;;;;
Missing in Action;1984;5,4;BAction, Jungle Adventure, OnePerson Army Action, Action, Adventure, Drama, Thriller, War;United States;English, Vietnamese;;;;;
Swing Shift;1984;5,9;Drama, Romance, War;United States;English;;;;;
The Stone Boy;1984;6,5;Drama;United States;English;;;;;
Heartbreakers;1984;6,1;Drama;United States;English;;;;;
Love Streams;1984;7,6;Drama;United States;English, French, Spanish;;;;;
Lady Libertine;1984;4,6;Drama, Romance;France, United States, Canada;English;;;;;
Ciske the Rat;1984;7;Crime, Drama, Thriller;Netherlands;Dutch;;;;;
My Dear Kuttichaathan;1984;7,8;Action, Adventure, Comedy, Family, Fantasy;India;Malayalam;;;;;
Samson & Sally;1984;7;Animation, Family, Romance;Denmark, Sweden;Danish;;;;;
The Red Fury;1984;6,3;Drama, Family;United States;English;;;;;
Gully Boy;2019;7,9;Drama, Music, Romance;India;Hindi, English;;;;;
The Last Full Measure;2019;6,8;Drama, War;United States;English;;;;;
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion;2019;6,8;Anime, Action, Adventure, Animation, Comedy, Fantasy, Romance;Japan;Japanese;;;;;
Wilder vs. Ortiz;2019;6,8;Sport;;;;;;;
The Vigil;2019;5,8;Supernatural Horror, Horror, Mystery, Thriller;United States;English, Yiddish, Hebrew;;;;;
Vault;2019;5,5;Heist, Action, Crime, Drama, History, Thriller;United States;English;;;;;
Piranhas;2019;6,5;Crime, Drama;Italy;Neapolitan;;;;;
The Torch;2019;7,3;Documentary, Music;United States;English;;;;;
Spiral Farm;2019;5,3;Drama;United States, Italy, Spain;English;;;;;
I, Robot;2004;7,1;Artificial Intelligence, Cyber Thriller, Cyberpunk, Action, Mystery, SciFi, Thriller;United States, Germany;English;;;;;
Fahrenheit 9/11;2004;7,5;Dark Comedy, Military Documentary, Political Documentary, Documentary, Drama, War;United States;English, Arabic;;;;;
The Girl Next Door;2004;6,7;Raunchy Comedy, Romantic Comedy, Teen Comedy, Teen Drama, Teen Romance, Comedy, Drama, Romance;United States;English;;;;;
Tae Guk Gi: The Brotherhood of War;2004;8;Action, Drama, War;South Korea;Korean;;;;;
Highwaymen;2004;5,6;Action, Crime, Horror, Thriller;United States, Canada;English;;;;;
This Old Cub;2004;8,2;Documentary, Sport;United States;English;;;;;
Clean;2004;6,8;Drama, Music, Romance;France, Canada, United Kingdom;French, English, Cantonese;;;;;
Carlos Castaneda: Enigma of a Sorcerer;2004;4,5;Documentary;United States;English;;;;;
Perfect Opposites;2004;5,5;Drama, Romance;United States;English;;;;;
Monumental: David Brower's Fight for Wild America;2004;7,9;Documentary;United States;English;;;;;
Uno;2004;6,8;Drama;Norway;Norwegian;;;;;
Murder She Said;1961;7,3;Comedy, Crime, Drama, Mystery;United Kingdom;English;;;;;
Flower Drum Song;1961;6,9;Classic Musical, Farce, Comedy, Musical, Romance;United States;English, Cantonese;;;;;
On the Double;1961;6,4;Adventure, Comedy, War;United States;English, German, Russian;;;;;
Dead Eyes of London;1961;6,4;Crime, Horror, Mystery, Thriller;West Germany;German;;;;;
Sekai daisensô;1961;6,3;Drama, SciFi;Japan;Japanese;;;;;
All Hands on Deck;1961;5,6;Comedy, Musical;United States;English;;;;;
In the Doghouse;1961;6,1;Comedy, Drama;United Kingdom;English;;;;;
Sampoorna Ramayana;1961;7,7;Action, Adventure, Drama, Fantasy;India;Hindi;;;;;
Guns of the Trees;1961;6,9;Drama;United States;English;;;;;
Onna bakari no yoru;1961;7,3;Drama;Japan;Japanese;;;;;
Bee Movie;2007;6,1;Animal Adventure, Computer Animation, Legal Drama, Adventure, Animation, Comedy, Drama, Family;United States, Canada;English;;;;;
Ghost Rider;2007;5,3;Dark Fantasy, Superhero, Supernatural Fantasy, Action, Fantasy, Thriller;United States, Australia;English;;;;;
Are We Done Yet?;2007;4,3;Slapstick, Comedy, Family;Canada, United States;English;;;;;
Mr. Brooks;2007;7,3;Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller;United States;English;;;;;
Talk to Me;2007;7,3;Biography, Drama, History, Music, War;United States;English;;;;;
The Jane Austen Book Club;2007;6,7;Comedy, Drama, Romance;United States;English;;;;;
Flawless;2007;6,7;Heist, Period Drama, Crime, Drama, Thriller;United Kingdom, Luxembourg;English;;;;;
The Hunting Party;2007;6,8;Dark Comedy, Adventure, Comedy, Drama, Thriller, War;United States, Croatia, Bosnia and Herzegovina, Mexico;English, Bosnian, SerboCroatian, Serbian, Croatian;;;;;
King of California;2007;6,6;Comedy, Drama;United States;English, Spanish;;;;;
Trade;2007;7,3;Crime, Drama, Thriller;Germany, United States, Mexico;English, Spanish, Polish, Russian;;;;;
Borderland;2007;5,6;Slasher Horror, True Crime, Crime, Horror, Thriller;Mexico, United States;English, Spanish;;;;;
Big Man Japan;2007;6,2;Parody, Satire, Superhero, Action, Comedy, SciFi;Japan;English, Japanese;;;;;
The Camden 28;2007;7,3;Documentary;United States;English;;;;;
Wonderful Town;2007;6,5;Drama, Romance;Thailand;Thai;;;;;
Melvin and Howard;1980;6,8;Comedy, Drama;United States;English;;;;;
Why Would I Lie?;1980;5,9;Comedy, Drama;United States;English;;;;;
Shogun Assassin;1980;7,3;Samurai, Action, Adventure;Japan;Japanese;;;;;
Blood Beach;1980;4,5;Parody, Supernatural Horror, Comedy, Horror, SciFi;United States, Hong Kong;English;;;;;
Escape from Hell;1980;4,7;Adventure, Crime, Thriller;Spain, Italy;Italian;;;;;
The Comeback;1980;6,6;Action, Documentary;Australia;English;;;;;
L'insegnante al mare con tutta la classe;1980;5,2;Comedy;Italy;Italian;;;;;
The Beasts' Carnival;1980;5,7;Crime, Horror;Spain, Japan;Spanish, Japanese;;;;;
Gehrayee;1980;6,9;Drama, Horror;India;Hindi;;;;;
Loulou;1980;6,6;Drama, Romance;France;French;;;;;
Tranquille donne di campagna;1980;5;Drama;Italy;Italian;;;;;
City After Dark;1980;7,1;Drama;Philippines;Filipino, Tagalog;;;;;
La dottoressa ci sta col colonnello;1980;4,8;Comedy;Italy;Italian;;;;;
Rad na odredjeno vreme;1980;7,1;Comedy;Yugoslavia;SerboCroatian;;;;;
Zoom In: Rape Apartments;1980;5,6;Horror, Mystery;Japan;Japanese;;;;;
Garlic Is as Good as Ten Mothers;1980;7,3;Documentary, History;United States;English, Spanish;;;;;
The Substance;2024;7,4;Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Drama, Horror, SciFi;United Kingdom, France, United States;English;;;;;
SUGA: Agust D Tour 'D-DAY' the Movie;2024;8,1;Concert, Documentary, Music;South Korea;Korean;;;;;
The Firing Squad;2024;5,4;Adventure, Biography, Drama;United States;English;;;;;
Laufey's A Night at the Symphony: Hollywood Bowl;2024;9,4;Music;United States;English;;;;;
A Different Man;2024;7;Comedy, Drama, Thriller;United States;English;;;;;
The End;2024;6,2;Drama, Fantasy, Musical, SciFi;Denmark, Ireland, Germany, Italy, United Kingdom, United States, Sweden;English;;;;;
In the Summers;2024;6,5;Drama;United States;English, Spanish;;;;;
The Beast Within;2024;4,3;Horror;United Kingdom;English;;;;;
Midas;2024;4,6;Action, Crime, Thriller;United States;English;;;;;
America's Burning;2024;6,6;Documentary;United States;;;;;;
Sex-Positive;2024;4,1;Comedy;United States;English;;;;;
Survive;2024;4,5;Adventure, SciFi;France, Belgium;French, English;;;;;
The Piano Lesson;2024;6,2;Drama, Music;United States;English;;;;;
Horizon: An American Saga - Chapter 2;2024;7,2;Western Epic, Drama, Western;United States;English;;;;;
Killer Heat;2024;5,6;Crime, Drama, Mystery, Romance, Thriller;United States;English, Greek;;;;;
A '90s Christmas;2024;6;Holiday Romance, Romance;United States;English;;;;;
Vanvaas;2024;6,8;Action, Drama;India;Hindi;;;;;
Rebel Moon - Part Two: The Scargiver;2024;5,3;Action Epic, Adventure Epic, Epic, Fantasy Epic, Gun Fu, SciFi Epic, Space SciFi, Action, Adventure, Drama;United States;English;;;;;
Watchmen: Chapter II;2024;7;Adult Animation, Computer Animation, Dystopian SciFi, Action, Animation, Drama, Mystery, SciFi;United States;English;;;;;
Christmas at Plumhill Manor;2024;6,1;Romance;United Kingdom;English;;;;;
Darkness of Man;2024;4,4;Action, Crime, Thriller;United States;English;;;;;
Old Guy;2024;7,1;Action, Comedy;United States, United Kingdom;English;;;;;
Mobsters;1991;5,9;Epic, Gangster, Crime, Drama;United States;English;;;;;
Rush;1991;6,7;Action, Crime, Drama, Romance, Thriller;United States;English;;;;;
Silent Möbius;1991;6,3;Anime, Action, Animation, Drama, Fantasy, SciFi;Japan;Japanese;;;;;
Dream Machine;1991;5,1;Action, Comedy, Crime, Thriller;United States;English;;;;;
Raw Nerve;1991;4,4;Drama, Mystery, Thriller;United States;English;;;;;
Ghar Parivaar;1991;5,5;Drama;India;Hindi;;;;;
North;1991;6,4;Drama;France;French;;;;;
Passion's Flower;1991;4,4;Drama, Mystery, Romance;Italy;Italian;;;;;
Cover-Up;1991;4,4;Action, Adventure, Drama, Thriller;United Kingdom, Israel;English;;;;;
Brain Twisters;1991;3,5;Conspiracy Thriller, Drama, Horror, SciFi, Thriller;United States;English;;;;;
Gang Leader;1991;7,9;Action, Drama;India;Telugu;;;;;
Ring of Fire;1991;4,6;Boxing, Action, Drama, Sport;United States;English;;;;;
Jacknife;1989;6,4;Drama, War;United States, Canada;English;;;;;
How I Got Into College;1989;5,8;Comedy, Romance;United States;English;;;;;
Teen Witch;1989;6;Comedy, Fantasy, Romance;United States;English;;;;;
The Church;1989;6,2;Horror;Italy;Italian, Hungarian, Latin;;;;;
Visitor of a Museum;1989;7,2;Drama, Horror, SciFi;Soviet Union, West Germany, Switzerland;Russian;;;;;
Laser Mission;1989;3,5;BAction, Action, Adventure, Thriller;West Germany, South Africa, United States;English;;;;;
My Heart Is That Eternal Rose;1989;7;Action, Crime, Drama, Romance, Thriller;Hong Kong;Japanese, Cantonese;;;;;
Return from the River Kwai;1989;4,9;Drama, War;United Kingdom;English;;;;;
The Laughing Dead;1989;4,5;Horror;United States;English;;;;;
The King's Speech;2010;8;Period Drama, Political Drama, Biography, Drama, History;United States, United Kingdom;English;;;;;
From Paris with Love;2010;6,4;Action, Crime, Thriller;France, United Kingdom, United States;English, French, Mandarin, German;;;;;
Barney's Version;2010;7,3;Comedy, Drama;Italy, Canada;English, French;;;;;
You Will Meet a Tall Dark Stranger;2010;6,3;Satire, Comedy, Drama, Romance;United States, Spain, United Kingdom;English, Italian;;;;;
Senna;2010;8,5;Motorsport, Sports Documentary, Biography, Documentary, Sport;United Kingdom, France, United States;English, Portuguese, French, Japanese;;;;;
Boy;2010;7,5;ComingofAge, Comedy, Drama;New Zealand;English, Maori;;;;;
The Tenant;2010;3,1;Action, Horror, Thriller;United States;English;;;;;
Christina;2010;6,4;Drama;United States;English;;;;;
El Sicario, Room 164;2010;7,1;Crime, Documentary;France, United States;Spanish;;;;;
BearCity;2010;5,9;Comedy, Romance;United States;English;;;;;
Tomorrow, When the War Began;2010;6,1;Action, Adventure, Drama, Romance, SciFi, Thriller, War;Australia;English;;;;;
Minority Report;2002;7,6;Conspiracy Thriller, Cyber Thriller, Cyberpunk, Dystopian SciFi, Psychological Thriller, Suspense Mystery, Action, Crime, Mystery, SciFi;United States;English, Swedish;;;;;
The Bourne Identity;2002;7,8;OnePerson Army Action, Political Thriller, Psychological Thriller, Spy, Suspense Mystery, Action, Mystery, Thriller;United States, Germany, Czech Republic;English, French, German, Dutch, Italian, Yoruba;;;;;
The Truth About Charlie;2002;4,7;Mystery, Thriller;Germany, United States;English, French, Arabic;;;;;
Charlotte Sometimes;2002;6,4;Drama, Romance;United States;English, Japanese, Mandarin;;;;;
XX/XY;2002;5,9;Drama, Romance;United States;English;;;;;
Hitorine;2002;5;Drama;Japan;Japanese;;;;;
Five Days from Home;1978;6,1;Action, Crime, Drama, Thriller;United States;English;;;;;
Boarding School;1978;4,7;Comedy;West Germany;German;;;;;
The Inglorious Bastards;1978;6,5;Action, Adventure, War;Italy;English, German, French, Italian;;;;;
The Coming of Sin;1978;5,2;Thriller;Spain;Spanish;;;;;
The Alien Factor;1978;3,9;Alien Invasion, Horror, SciFi;United States;English;;;;;
Jubilee;1978;6;Dark Comedy, Dark Fantasy, Satire, Comedy, Crime, Drama, Fantasy, History, Music, War;United Kingdom;English;;;;;
Women in Cellblock 9;1978;4,3;Action, Crime, Drama, Horror;Switzerland;English;;;;;
The Fall of Ako Castle;1978;7,2;Samurai, Action, Adventure, Drama, History;Japan;Japanese;;;;;
Adela Has Not Had Supper Yet;1978;7,4;Dark Comedy, Parody, Slapstick, Comedy, Crime, Fantasy, Horror, Mystery, SciFi;Czechoslovakia;Czech;;;;;
The Astral Factor;1978;3,7;Crime, SciFi, Thriller;United States;English;;;;;
El terror de la frontera;1963;7,4;Action, Adventure, Comedy, Drama, Western;Mexico;Spanish;;;;;
O filos mou o Lefterakis;1963;7,1;Comedy;Greece;Greek;;;;;
Le concerto de la peur;1963;5,4;Crime, Thriller;France;French;;;;;
Love Parade;1963;6,2;Comedy, Musical;Hong Kong;Mandarin;;;;;
Jinsei gekijô: Hishakaku;1963;7,6;Crime;Japan;Japanese;;;;;
Il magnifico avventuriero;1963;5,3;Adventure;Italy, France, Spain;Italian;;;;;
Phir Wohi Dil Laya Hoon;1963;7;Musical, Romance;India;Hindi;;;;;
Mig og min lillebror;1967;5,5;Comedy, Family;Denmark;Danish;;;;;
The St. Valentine's Day Massacre;1967;6,6;Docudrama, True Crime, Crime, Drama, History;United States;English, Italian;;;;;
Easy Come, Easy Go;1967;5,2;Adventure, Comedy, Music;United States;English;;;;;
The Whisperers;1967;7,1;Drama;United Kingdom;English;;;;;
The Comedians;1967;6,3;Drama;France, Bermuda, United States;English, French, Haitian, Spanish;;;;;
It's a Bikini World;1967;4,7;Comedy, Musical;United States;English;;;;;
Bhakta Prahlada;1967;8,2;Drama, Fantasy, Musical;India;Telugu;;;;;
Killer Caliber .32;1967;5,8;Spaghetti Western, Action, Romance, Western;Italy;Italian;;;;;
Run Swinger Run!;1967;5,1;Drama;United States;English;;;;;
Groom from London;1967;6,5;Comedy;Greece;Greek;;;;;
Three Men and a Baby;1987;6,1;Comedy, Drama, Family;United States;English;;;;;
Beverly Hills Cop II;1987;6,6;Buddy Cop, Action, Comedy, Crime, Thriller;United States;English;;;;;
Extreme Prejudice;1987;6,6;Contemporary Western, Dark Comedy, Action, Crime, Drama, History, Thriller, Western;United States;English, Spanish;;;;;
The Glass Menagerie;1987;7,1;Drama;United States, Canada;English;;;;;
Slam Dance;1987;5,2;Crime, Drama, Mystery, Thriller;United Kingdom, United States;English;;;;;
White Water Summer;1987;6,2;Adventure, Drama;United States;English;;;;;
The Girl;1987;5,1;Drama, Romance, Thriller;United Kingdom, Italy, Sweden;English;;;;;
The Cure for Insomnia;1987;4,6;Documentary, Music;United States;English;;;;;
Beaks: The Movie;1987;3,6;Horror, Thriller;Mexico;English;;;;;
Winners Take All;1987;6;Action, Adventure, Romance, Sport;United States;English;;;;;
Aha Naa Pellanta;1987;8,9;Comedy;India;Telugu;;;;;
The Trouble with Spies;1987;4,4;Parody, Action, Adventure, Comedy, Mystery;United States;English;;;;;
Deadly Daphne's Revenge;1987;3,3;Drama, Thriller;United States;English;;;;;
Blood Sisters;1987;3,7;Slasher Horror, Horror, Thriller;United States;English;;;;;
Hajde da se volimo;1987;5,2;Comedy, Musical;Yugoslavia;SerboCroatian;;;;;
Heat;1995;8,3;Cop Drama, Epic, Gangster, Heist, Action, Crime, Drama;United States;English, Spanish;;;;;
Endless Winter;1995;7,5;Documentary, Sport;United States;English;;;;;
Open Season;1995;5,4;Comedy;United States, Canada;English;;;;;
Mercy;1995;5;Crime, Drama, Thriller;United States;English;;;;;
Embrace of the Vampire;1995;4,4;Vampire Horror, Horror, Thriller;United States;English;;;;;
Memories;1995;7,5;Adult Animation, Anime, Dark Comedy, Space SciFi, Animation, Drama, Horror, SciFi, Thriller;Japan;Japanese, English, Italian;;;;;
No Way Back;1995;5,1;Action, Crime, Drama, Thriller;United States;English, Japanese;;;;;
Without Evidence;1995;3,9;Conspiracy Thriller, Crime, Drama, Mystery, Thriller;United States;English;;;;;
Zero Woman;1995;4,9;Drama, Thriller;Japan;Japanese;;;;;
Ten Brothers;1995;6;Action, Comedy, Fantasy;Hong Kong;Cantonese, English;;;;;
Den kære familie;1962;6,3;Comedy, Family;Denmark, Sweden;Danish;;;;;
A Very Private Affair;1962;5,6;Drama;France, Italy;French, Italian;;;;;
Little Red Riding-Hood;1962;5,6;Family, Fantasy;East Germany;German;;;;;
Sign of the Lion;1962;7,2;Psychological Drama, Drama;France;French, Italian, English;;;;;
Guns of Darkness;1962;6,1;Drama, Thriller;United Kingdom;English, Spanish;;;;;
A Man Called Otto;2022;7,5;Comedy, Drama;United States, Sweden, Canada, Ireland, United Kingdom;English, Spanish;;;;;
The Northman;2022;7;Action Epic, Adventure Epic, Historical Epic, OnePerson Army Action, Period Drama, Tragedy, Action, Adventure, Drama, Fantasy;United Kingdom, China, United States;English, Norse, Old, Ukrainian;;;;;
Umma;2022;4,7;Drama, Horror, Mystery;United States, Hong Kong;English, Korean;;;;;
Mr. Malcolm's List;2022;6;Costume Drama, FeelGood Romance, Screwball Comedy, Comedy, Drama, Romance;United Kingdom, United States, Ireland;English, Japanese, Welsh, Korean;;;;;
Emily;2022;6,8;Period Drama, Tragic Romance, Biography, Drama, History, Romance;United Kingdom, United States, Australia;English, French;;;;;
Coldplay Music of The Spheres Live Broadcast from Buenos Aires;2022;8,4;Music;United Kingdom;English;;;;;
The Devil Conspiracy;2022;4,6;Supernatural Horror, Horror, SciFi, Thriller;Czech Republic;English, Italian;;;;;
Ante Sundharaniki;2022;7,6;FeelGood Romance, Comedy, Romance;India;Telugu;;;;;
The Mean One;2022;3,9;BHorror, Parody, Comedy, Horror;United States;English;;;;;
Sanctuary;2022;6,2;Psychological Thriller, Drama, Thriller;United States, France, Russia;English;;;;;
The Eternal Daughter;2022;5,9;Drama, Mystery;United Kingdom, Ireland, United States;English;;;;;
The Forger;2022;6,2;Biography, Drama, History;Germany, Luxembourg;German;;;;;
Give Me Pity!;2022;5,8;Comedy, Musical, Thriller;United States;English;;;;;
Lamborghini: The Man Behind the Legend;2022;5,5;Docudrama, Biography, Drama, Sport;United States, Italy;English;;;;;
Dick Tracy;1990;6,2;Police Procedural, Action, Comedy, Crime, Music, Romance, Thriller;United States;English;;;;;
Shipwrecked;1990;6,5;Survival, Adventure, Family;Norway, Sweden, United States;Norwegian, English;;;;;
The Nutcracker Prince;1990;6,8;Adventure, Animation, Family, Fantasy;Canada;English, French, Japanese;;;;;
Forbidden Love;1990;6,8;Drama, Romance;East Germany;German;;;;;
A Gnome Named Gnorm;1990;4,5;Action, Adventure, Comedy, Family, Fantasy;United States;English;;;;;
Lucrezia Borgia;1990;4,7;Drama, History;Italy;Italian;;;;;
Ajooba;1990;5,2;Action, Adventure, Comedy, Fantasy, Romance;India, Soviet Union;Hindi;;;;;
Skinned Alive;1990;3,8;Comedy, Horror;United States;English;;;;;
Dragon Ball Z: The Tree of Might;1990;6,7;Adult Animation, Anime, Action, Adventure, Animation, SciFi;Japan;Japanese;;;;;
My Super Ex-Girlfriend;2006;5,2;Romantic Comedy, Comedy, Romance, SciFi;United States;English;;;;;
A Good Year;2006;6,9;FeelGood Romance, Romantic Comedy, Comedy, Drama, Romance;United States, United Kingdom;English, French, Russian;;;;;
Away from Her;2006;7,5;Drama;Canada, United Kingdom, United States;English;;;;;
Stormbreaker;2006;5,1;Spy, Action, Adventure, Family, Mystery, Romance, Thriller;United Kingdom, Germany, United States;English;;;;;
A Guide to Recognizing Your Saints;2006;6,9;Crime, Drama;United States;English, Spanish;;;;;
Broken Bridges;2006;5,9;Drama, Music;United States;English;;;;;
Starter for 10;2006;6,7;Comedy, Drama, Romance;United Kingdom, United States;English;;;;;
Civic Duty;2006;6,2;Conspiracy Thriller, Drama, Thriller;United Kingdom, United States, Canada;English, Arabic;;;;;
Who Gets to Call It Art?;2006;6,9;Documentary;United States;English;;;;;
Take a Girl Like You;1970;5,6;Comedy, Drama, Romance;United Kingdom;English, French;;;;;
The Butcher;1970;7,3;Drama, Thriller;France, Italy;French;;;;;
The Notorious Cleopatra;1970;3,9;Parody, Slapstick, Comedy, Drama;United States;English;;;;;
Bizarre;1970;4,5;Dark Comedy, Slapstick, Comedy, Fantasy, Horror;United Kingdom;English;;;;;
The Deep;1970;6,5;Drama, Thriller;United Kingdom;English;;;;;
Sinthia: The Devil's Doll;1970;3,6;Horror;United States;English;;;;;
The Only Game in Town;1970;5,7;Comedy, Drama, Romance;United States;English;;;;;
Jenny;1970;5,5;Drama, Romance;United States;English;;;;;
El tunco Maclovio;1970;7,2;Crime, Thriller, Western;Mexico;Spanish;;;;;
Judy;1970;3,8;Crime, Drama;United States;English;;;;;
The Garden of Delights;1970;6,7;Drama;Spain;Spanish;;;;;
A History of Violence;2005;7,4;Gangster, OnePerson Army Action, Action, Crime, Drama, Thriller;United States, Canada, United Kingdom, Germany;English;;;;;
Assault on Precinct 13;2005;6,3;Action, Crime, Drama, Thriller;France, United States;English, Serbian;;;;;
The Proposition;2005;7,3;Costume Drama, Dark Comedy, Period Drama, Crime, Drama, Western;Australia, United Kingdom;English, Aboriginal;;;;;
Tristram Shandy;2005;6,7;Comedy;United Kingdom;English;;;;;
Venom;2005;4,6;Slasher Horror, Supernatural Horror, Teen Horror, Horror;United States;English;;;;;
Deewane Huye Paagal;2005;5,6;Action, Comedy, Drama, Romance;India;Hindi;;;;;
Shaadi No. 1;2005;3,6;Comedy;India;Hindi;;;;;
51 Birch Street;2005;7,3;Documentary;Germany, United States;English;;;;;
The Willow Tree;2005;7,3;Drama;Iran;Persian;;;;;
Luna;1979;6,4;Psychological Drama, Tragedy, Drama;Italy, United States;English, Italian;;;;;
Ashanti;1979;5,4;Action, Adventure, Drama, Mystery, Thriller;Switzerland, United States;English;;;;;
Vlad Tepes;1979;7,5;Drama, History;Romania;Romanian;;;;;
Siberiade;1979;7,9;Drama, History, Romance, War;Soviet Union;Russian, German;;;;;
Den åttonde dagen;1979;5,9;Drama, Family;Sweden;Swedish;;;;;
Günahkar Kadin;1979;5,5;Drama;Turkey;Turkish;;;;;
Neighbors;2014;6,3;Comedy;United States;English, Ukrainian;;;;;
The Gambler;2014;6;Crime, Drama, Thriller;United States;English;;;;;
Pompeii;2014;5,5;Disaster, Epic, Romantic Epic, Sword  Sandal, Action, Adventure, Drama, History, Romance;Canada, Germany, United States, United Kingdom;English;;;;;
The Single Moms Club;2014;5,5;Comedy, Drama;United States;English;;;;;
The Identical;2014;5,3;Drama, Music;United States;English;;;;;
Force Majeure;2014;7,2;Dark Comedy, Comedy, Drama;Sweden, France, Norway, Denmark, Italy;Swedish, Norwegian, English, French, Italian;;;;;
Gett;2014;7,7;Drama;Israel, France, Germany;Hebrew, French, Arabic;;;;;
Life Itself;2014;7,8;Biography, Documentary;United States;English;;;;;
Kumiko, The Treasure Hunter;2014;6,6;Drama;United States;English, Japanese;;;;;
Mary Kom;2014;6,8;Action, Biography, Drama, Sport;India;Hindi;;;;;
A Little Chaos;2014;6,5;Period Drama, Drama, Romance;United Kingdom, United States;English;;;;;
Under the Electric Sky;2014;6,5;Documentary, Music;United States;English;;;;;
Take Me to the River;2014;6,8;Documentary, Music;United States;English;;;;;
Young Frankenstein;1974;8;Farce, Parody, Slapstick, Comedy;United States;English, German;;;;;
Ali: Fear Eats the Soul;1974;8;FeelGood Romance, Political Drama, Drama, Romance;West Germany;German, Arabic;;;;;
Blood for Dracula;1974;6,1;Horror;Italy, France, United States;English;;;;;
Sex Through the Ages;1974;4,4;Comedy;United Kingdom;English;;;;;
The Centerfold Girls;1974;5,5;Slasher Horror, Horror, Thriller;United States;English;;;;;
Yellow-Faced Tiger;1974;4,3;Martial Arts, Action, Crime, Thriller;Hong Kong, United States;Mandarin;;;;;
Janis;1974;7,7;Music Documentary, Biography, Documentary, Music;United States, Canada;English;;;;;
Naughty!;1974;5,2;Drama;United Kingdom;English;;;;;
Carnal Revenge;1974;5;Thriller;Italy;Italian;;;;;
The 13th Warrior;1999;6,6;Quest, Action, Adventure, History;United States;English, Latin, Swedish, Norse, Old, Danish, Arabic;;;;;
Doug's 1st Movie;1999;4,9;HandDrawn Animation, Adventure, Animation, Comedy, Drama, Family, Fantasy, SciFi;United States, South Korea;English;;;;;
Godzilla 2000;1999;6;Alien Invasion, Dinosaur Adventure, Disaster, Kaiju, Urban Adventure, Action, Adventure, Drama, SciFi, Thriller;Japan;Japanese, Russian, Czech, English;;;;;
Holy Smoke;1999;5,9;Satire, Slapstick, Comedy, Drama;United States, Australia;English, Hindi;;;;;
Dead End;1999;5,2;Crime, Drama, Horror, Thriller;Australia;English;;;;;
My Best Fiend;1999;7,8;Biography, Documentary;Germany, United Kingdom, France, Finland;German, English, Spanish;;;;;
The Escort;1999;6,2;Drama;France, United Kingdom;French, English;;;;;
The 4th Floor;1999;5,8;Mystery, Thriller;United States;English;;;;;
Doraemon: Nobita Drifts in the Universe;1999;6,6;Anime, Action, Adventure, Animation, Comedy, Family, Fantasy, SciFi;Japan;Japanese;;;;;
Dreamers;1999;5,1;Comedy, Drama;United States;English;;;;;
Noll tolerans;1999;6,5;Action, Crime, Holiday, Thriller;Sweden;Swedish;;;;;
Choke;1999;7,4;Documentary, Sport;United States;English;;;;;
The Shootist;1976;7,6;Period Drama, Tragedy, Drama, Romance, Western;United States;English;;;;;
Grizzly;1976;5,2;Adventure, Horror, Thriller;United States;English;;;;;
The Song Remains the Same;1976;7,6;Concert, Documentary, Music;United Kingdom, United States;English;;;;;
The Blue Bird;1976;5,4;Adventure, Drama, Family, Fantasy, Mystery, Thriller;Soviet Union, United States;English;;;;;
