ID_Filme;title;rating;release_date;countries_origin;genres;languages
4225;Aysecik: Hayat Sevince GÃ¼zel;58;sexta-feira, 1 de janeiro de 1971;Turkey;Comedy, Drama;Turkish
4238;The Czar Wants to Sleep;63;quarta-feira, 12 de setembro de 1934;Soviet Union;Comedy, Drama;Russian
4607;Woman Times Seven;58;terça-feira, 10 de outubro de 1967;Italy, France, United States;Comedy, Drama;English, French, Italian, Japanese
4727;P & B;61;quarta-feira, 12 de outubro de 1983;Sweden;Comedy, Drama;Swedish, English
5114;Bonjour Monsieur Shlomi;75;terça-feira, 4 de março de 2003;Israel;Comedy, Drama;Hebrew
5308;Being Human;53;domingo, 5 de junho de 1994;United Kingdom, Japan, United States;Comedy, Drama;English, Gaelic
6119;Breakfast on Pluto;72;quinta-feira, 1 de junho de 2006;Ireland, United Kingdom;Comedy, Drama;English, Irish Gaelic
6253;Fanny Hill;45;segunda-feira, 11 de novembro de 1968;Sweden;Comedy, Drama;Swedish
6293;House of Angels;64;terça-feira, 8 de junho de 1993;Sweden, Denmark, Norway;Comedy, Drama;Swedish
6374;Pad Man;79;domingo, 2 de setembro de 2018;India, Hong Kong, United States;Comedy, Drama;Hindi
6400;The Three Faces;60;quinta-feira, 2 de dezembro de 1965;Italy;Comedy, Drama;Italian, English
6418;Evas TÃ¶chter;60;quarta-feira, 4 de abril de 1928;Czechoslovakia, Germany, Switzerland;Comedy, Drama;German, English
6614;I'm Going Home;68;domingo, 9 de dezembro de 2001;France, Portugal;Comedy, Drama;French, English
6638;Reconstruction;78;sexta-feira, 1 de maio de 1970;Romania;Comedy, Drama;Romanian
7002;De tre skolekammerater;47;sábado, 4 de março de 1944;Denmark;Comedy, Drama;Danish
7753;The Other Side of Hope;72;quinta-feira, 2 de março de 2017;Finland, Germany;Comedy, Drama;Finnish, English, Arabic, Swedish, Japanese
8057;Goose Boy;71;segunda-feira, 10 de dezembro de 1951;Hungary;Comedy, Drama;Hungarian
8222;Stroszek;77;quinta-feira, 1 de dezembro de 1977;West Germany;Comedy, Drama;German, English, Turkish
8697;FalfÃºrÃ³;66;sábado, 4 de outubro de 1986;Hungary;Comedy, Drama;Hungarian
9543;James' Journey to Jerusalem;74;domingo, 1 de agosto de 2004;Israel;Comedy, Drama;Hebrew, English, Zulu
9924;The Hundred-Foot Journey;73;sexta-feira, 8 de agosto de 2014;United States, United Arab Emirates, India;Comedy, Drama;English, Hindi, French
9952;It Happened in the Park;61;domingo, 8 de dezembro de 1957;Italy, France;Comedy, Drama;English, French, Italian
10154;Oi Germanoi xanarhontai...;78;sábado, 1 de maio de 1948;Greece;Comedy, Drama;Greek, German, English
10453;Stranger Than Paradise;74;terça-feira, 10 de abril de 1984;United States, West Germany;Comedy, Drama;English, Hungarian, Italian
10701;Housekeeping for Beginners;70;sábado, 6 de julho de 2024;North Macedonia, Poland, Croatia, Serbia, Kosovo, Sweden, United States, Australia;Comedy, Drama;Macedonian, Romany, Albanian, French
10831;The Unforgettable Director of Love Movies;76;sábado, 3 de fevereiro de 1990;Turkey;Comedy, Drama;Turkish
10834;The Vocation of AndrÃ© Carel;59;quinta-feira, 2 de setembro de 1926;Switzerland, France;Comedy, Drama;None, German
10992;O Groom do Ritz;0;segunda-feira, 1 de janeiro de 1923;Portugal, Spain;Comedy, Drama;None
11184;Hustruer;59;quarta-feira, 9 de abril de 1975;Norway;Comedy, Drama;Norwegian
